Table with row headers in column A and column headers in rows 4 through 5,,,,,,,,,,,,,,,
"Table A-2.
Households by Total Money Income, Race, and Hispanic Origin of Householder: 1967 to 2021",,,,,,,,,,,,,,,
"(Income in 2021 dollars, adjusted using the R-CPI-U-RS. Households as of March of the following year. Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar22.pdf>)",,,,,,,,,,,,,,,
"Race and Hispanic origin of householder
and year",Number (thousands),Percent distribution,,,,,,,,,,"Median income
(dollars)",,"Mean income
(dollars)",
,,Total,"Under $15,000","$15,000 
to
 $24,999","$25,000 
to
 $34,999","$35,000 
to
 $49,999","$50,000 
to
 $74,999","$75,000 
to
 $99,999","$100,000 
to
 $149,999","$150,000 
to
 $199,999","$200,000 and over",Estimate,Margin of error1 (±),Estimate,Margin of error1 (±)
ALL RACES,,,,,,,,,,,,,,,
2021,"131,202",100,9.3,8.1,7.8,10.9,16.2,11.9,15.9,8.3,11.6,"70,784",605,"102,316","1,029"
2020 2,"129,244",100,8.8,8.2,8.1,11.0,16.2,12.3,15.8,8.4,11.3,"71,186",921,"102,020","1,098"
2019,"128,451",100,8.5,7.5,8.0,11.3,16.1,12.1,16.3,8.7,11.5,"72,808",959,"103,949","1,104"
2018,"128,579",100,9.4,8.3,8.4,11.5,16.4,12.8,15.6,7.9,9.8,"68,168",746,"97,129",969
2017 3,"127,669",100,9.4,8.6,8.6,11.8,15.8,12.6,15.2,7.7,10.1,"67,571",585,"96,868","1,037"
2017,"127,586",100,9.5,8.8,8.5,11.8,15.6,12.8,15.3,7.9,9.7,"67,832",609,"95,296",945
2016,"126,224",100,9.8,8.5,8.6,11.8,16.5,12.2,15.6,7.8,9.2,"66,657",810,"93,871",871
2015,"125,819",100,9.8,9.3,9.3,11.7,16.2,12.1,15.7,7.6,8.4,"64,631",604,"90,645",758
2014,"124,587",100,10.7,9.7,9.5,12.0,16.6,11.9,14.7,7.1,7.8,"61,468",739,"86,763",840
2013 4,"123,931",100,10.5,9.9,9.2,11.8,16.5,12.4,14.5,7.1,8.0,"62,425","1,253","87,599","1,272"
2013 5,"122,952",100,10.4,10.1,9.5,12.1,16.9,12.9,14.2,6.9,6.9,"60,507",529,"84,624",956
2012,"122,459",100,10.4,10.3,9.2,12.9,16.6,12.5,14.5,6.8,6.9,"60,313",406,"84,262",819
2011,"121,084",100,10.6,9.8,9.2,13.3,17.0,12.2,14.4,6.8,6.8,"60,428",498,"84,118",731
2010 6,"119,927",100,10.6,10.1,9.1,12.8,16.6,12.3,14.9,6.9,6.8,"61,364",666,"83,924",737
2009 7,"117,538",100,9.3,9.4,9.6,12.5,17.1,12.8,15.3,7.0,7.1,"63,011",444,"86,048",506
2008,"117,181",100,9.3,9.3,9.5,12.4,16.8,12.9,15.6,7.2,7.0,"63,455",284,"86,314",502
2007,"116,783",100,8.9,9.4,8.9,12.0,17.1,12.8,15.9,7.5,7.4,"65,801",302,"88,562",509
2006,"116,011",100,9.0,8.9,8.8,12.8,17.2,12.6,15.8,7.2,7.7,"64,930",459,"89,674",569
2005,"114,384",100,9.3,9.0,9.4,12.1,17.1,13.0,15.8,7.0,7.4,"64,427",355,"88,094",547
2004 8,"113,343",100,9.5,9.1,9.1,12.3,17.4,12.7,15.8,7.0,7.1,"63,745",464,"86,940",539
2003,"112,000",100,9.4,9.3,8.7,12.4,17.2,12.5,16.1,7.2,7.1,"63,967",457,"87,223",525
2002,"111,278",100,9.0,9.5,8.7,12.6,16.7,13.4,15.9,7.4,6.8,"64,047",345,"87,369",539
2001,"109,297",100,8.7,9.3,8.5,12.6,16.9,13.4,16.1,7.2,7.3,"64,779",326,"89,293",585
2000 9,"108,209",100,8.4,8.9,8.6,12.5,17.1,13.4,16.3,7.4,7.3,"66,248",343,"90,142",584
1999 10,"106,434",100,8.3,9.0,8.7,12.6,16.9,13.5,16.3,7.3,7.3,"66,385",510,"89,289",762
1998,"103,874",100,9.1,9.3,8.7,12.4,17.2,13.7,16.2,7.1,6.4,"64,781",630,"86,389",767
1997,"102,528",100,9.4,9.5,9.3,12.2,17.9,13.3,15.9,6.5,6.0,"62,484",475,"83,907",772
1996,"101,018",100,9.7,9.9,9.4,12.6,17.8,13.4,15.8,6.0,5.5,"61,225",508,"81,289",749
1995 11,"99,627",100,9.7,10.0,9.4,13.0,18.4,13.5,15.1,5.9,5.0,"60,348",574,"79,584",717
1994 12,"98,990",100,10.5,10.1,9.6,13.1,18.1,13.0,15.0,5.6,4.9,"58,515",439,"78,228",692
1993 13,"97,107",100,10.9,10.1,9.4,13.5,18.3,13.0,14.5,5.7,4.5,"57,843",445,"76,704",682
1992 14,"96,426",100,10.8,10.4,9.4,13.2,18.4,13.7,14.7,5.5,4.0,"58,153",453,"73,726",509
